SUBJECT_NAME,TRIAL_INDEX,SECOND_DISPLAY,BLOCK,CONDITION,CONDITION_APPEARANCE,SUBJECT_GROUP,SUBJECT_AGE,SUBJECT_GENDER,CENTER_FIXATION_LATENCY_REL_FIXATION_ONSET_MEDIAN,CENTER_FIXATION_DISTANCE_TO_CENTER_DEG_MEDIAN,CENTER_FIXATION_ACCEPTED,LATENCY_FIRST_SACCADE,TRIAL_SUCCESSFUL,FIXATION_OFFSET_TO_TARGET,LATENCY_CORRECTED_SACCADE,AMPLITUDE_CORRECTED_SACCADE,LATENCY_FIRST_WRONG_SACCADE,AMPLITUDE_FIRST_WRONG_SACCADE,LATENCY_CORRECT_SACCADE,AMPLITUDE_CORRECT_SACCADE,DISPLAY_1_WAS_SUCCESSFUL
AW001CG,23,1,2,1,TN,YNG,19.0,f,336.0,1.1276811878312136,1.0,164.0,1.0,0.6590896082103729,,,,,164.0,9.755114219654462,1.0
AW001CG,24,0,2,1,TN,YNG,19.0,f,-1004.0,5.461936696650598,0.0,192.0,1.0,2.1324806570264214,,,,,192.0,13.1476168489898,
AW001CG,24,1,2,1,TN,YNG,19.0,f,328.0,2.805232708748299,1.0,186.0,1.0,0.7509476118832691,,,,,186.0,4.374819473661035,1.0
AW001CG,25,0,2,1,TN,YNG,19.0,f,-1144.0,5.4793592421211965,0.0,140.0,1.0,0.6929221748544606,,,,,140.0,9.296848049445085,
AW001CG,25,1,2,1,TN,YNG,19.0,f,280.0,1.2132382288160275,1.0,162.0,1.0,0.7119154430456519,,,,,162.0,8.548212466459225,1.0
AW001CG,26,0,2,1,TN,YNG,19.0,f,-1066.0,5.190936241097139,0.0,176.0,1.0,0.8106137940141632,,,,,176.0,4.0269282463890725,
AW001CG,26,1,2,1,TN,YNG,19.0,f,226.0,1.9359914651829346,1.0,144.0,1.0,1.5152576975570191,,,,,144.0,8.306919691367586,1.0
AW001CG,27,0,2,1,TN,YNG,19.0,f,-828.0,4.456393746424814,1.0,164.0,1.0,6.859172394494052,,,,,164.0,3.553250330000499,
AW001CG,27,1,2,1,TN,YNG,19.0,f,514.0,0.8831389634128669,1.0,234.0,1.0,1.7980739109092878,,,,,234.0,12.017242172970931,1.0
AW001CG,28,0,2,1,TN,YNG,19.0,f,-1188.0,3.5327985053200863,1.0,190.0,1.0,1.8909891269344767,312.0,11.393297498553576,190.0,3.5331750635536756,,,
AW001CG,28,1,2,1,TN,YNG,19.0,f,353.0,0.742226350024026,1.0,174.0,1.0,1.2087673368130105,,,,,174.0,8.098909850562256,1.0
AW001CG,29,0,3,1,TT,YNG,19.0,f,171.0,2.571270234613107,1.0,168.0,1.0,0.9770398164137323,232.0,12.859468967521911,168.0,4.325890264228496,,,
AW001CG,29,1,3,1,TT,YNG,19.0,f,424.0,0.5978059975821022,1.0,162.0,1.0,0.7715575288312133,,,,,162.0,9.118242534273884,1.0
AW001CG,30,0,3,1,TT,YNG,19.0,f,-611.0,4.907152644335949,1.0,222.0,1.0,0.7333870132124585,,,,,222.0,12.208794565626423,
AW001CG,30,1,3,1,TT,YNG,19.0,f,190.0,0.7601905619470828,1.0,146.0,1.0,0.5756395777656194,,,,,146.0,9.028674790252218,1.0
AW001CG,31,0,3,1,TT,YNG,19.0,f,-710.0,4.430209605359075,1.0,188.0,1.0,0.34265995667272947,,,,,188.0,7.780286330774755,
AW001CG,31,1,3,1,TT,YNG,19.0,f,380.0,0.3272226190506088,1.0,168.0,1.0,0.775166880540893,,,,,168.0,8.376296991404626,1.0
AW001CG,32,0,3,1,TT,YNG,19.0,f,-1131.0,5.002774930889206,0.0,106.0,1.0,4.438103543097428,,,,,106.0,2.9529381127334116,
AW001CG,32,1,3,1,TT,YNG,19.0,f,,,,,0.0,,,,,,,,
AW001CG,33,0,3,1,TT,YNG,19.0,f,-1481.0,5.725462909274157,0.0,160.0,1.0,1.2839423370469893,270.0,12.253795772299357,160.0,3.2324848644961763,,,
AW001CG,33,1,3,1,TT,YNG,19.0,f,276.0,0.8607925088347753,1.0,186.0,1.0,0.8928783251406576,,,,,186.0,9.479239778286802,1.0
AW001CG,34,0,3,1,TT,YNG,19.0,f,-1122.0,4.555581677745844,1.0,156.0,1.0,0.7452864698225704,250.0,11.246740628800273,156.0,3.1455659025518723,,,
AW001CG,34,1,3,1,TT,YNG,19.0,f,378.0,0.9793796367408331,1.0,144.0,1.0,1.6004221935269471,,,,,144.0,7.201120151740846,1.0
AW001CG,35,0,3,1,TD1,YNG,19.0,f,-736.0,4.411881766343601,1.0,182.0,1.0,0.5927437257473247,,,,,182.0,9.108301796735926,
AW001CG,35,1,3,1,TD1,YNG,19.0,f,327.0,0.5518098377630081,1.0,174.0,1.0,0.786532044274116,,,,,174.0,8.604445488869052,1.0
AW001CG,36,0,3,1,TD1,YNG,19.0,f,-1054.0,3.325961419401181,1.0,200.0,1.0,1.1306682141022568,,,,,200.0,9.718701090198774,
AW001CG,36,1,3,1,TD1,YNG,19.0,f,355.0,0.8346482860681957,1.0,192.0,1.0,1.5911165249677113,,,,,192.0,8.119567001486969,1.0
AW001CG,37,0,3,1,TD1,YNG,19.0,f,-876.0,2.9724503522143015,1.0,186.0,1.0,1.254821733223753,,,,,186.0,8.331383541767783,
AW001CG,37,1,3,1,TD1,YNG,19.0,f,422.0,0.9149911971438504,1.0,178.0,1.0,0.6223102698175571,,,,,178.0,9.680777441541705,1.0
AW001CG,38,0,3,1,TD1,YNG,19.0,f,-955.0,3.9265940190896567,1.0,180.0,1.0,0.6065494533012469,,,,,180.0,9.226196741725703,
